Year,State,County,Ownership,Establishment Count,January Employment,February Employment,March Employment,Total Quarterly Wages,Average Weekly Wage,Employment Location Quotient Relative to U.S.,Total Wage Location Quotient Relative to U.S.
2025,Alabama,"Cullman County, Alabama",Federal Government,19,186,189,194,"3,790,156","1,537",0.33,0.37
2025,Alabama,"Dale County, Alabama",Federal Government,36,"2,990","2,993","2,997","51,693,450","1,328",8.42,7.01
2025,Alabama,"Dallas County, Alabama",Federal Government,17,169,166,164,"3,356,845","1,552",0.74,0.92
2025,Alabama,"DeKalb County, Alabama",Federal Government,19,157,152,156,"2,847,577","1,413",0.34,0.38
2025,Alabama,"Elmore County, Alabama",Federal Government,15,201,197,197,"3,863,846","1,499",0.47,0.56
2025,Alabama,"Escambia County, Alabama",Federal Government,6,62,61,60,"1,007,382","1,270",0.24,0.23
2025,Alabama,"Etowah County, Alabama",Federal Government,18,284,290,291,"6,346,912","1,693",0.46,0.65
2025,Alabama,"Fayette County, Alabama",Federal Government,7,33,33,32,"510,348","1,202",0.43,0.39
2025,Alabama,"Franklin County, Alabama",Federal Government,9,82,79,81,"1,472,088","1,404",0.39,0.44
2025,Alabama,"Geneva County, Alabama",Federal Government,11,53,52,54,"881,446","1,279",0.51,0.59
2025,Alabama,"Greene County, Alabama",Federal Government,7,22,21,21,"316,870","1,143",0.63,0.64
2025,Alabama,"Hale County, Alabama",Federal Government,11,38,40,37,"642,012","1,288",0.72,0.78
2025,Alabama,"Henry County, Alabama",Federal Government,7,42,40,42,"666,624","1,241",0.59,0.53
2025,Alabama,"Houston County, Alabama",Federal Government,25,299,285,283,"6,173,589","1,643",0.29,0.34
2025,Alabama,"Jackson County, Alabama",Federal Government,23,141,142,139,"2,990,405","1,635",0.48,0.62
2025,Alabama,"Jefferson County, Alabama",Federal Government,91,"8,630","8,603","8,530","205,733,460","1,843",1.21,1.12
2025,Alabama,"Lamar County, Alabama",Federal Government,7,34,33,32,"490,249","1,143",0.5,0.45
2025,Alabama,"Lauderdale County, Alabama",Federal Government,21,281,276,283,"5,531,489","1,520",0.47,0.58
2025,Alabama,"Lawrence County, Alabama",Federal Government,11,92,90,86,"2,136,869","1,840",0.81,1.21
2025,Alabama,"Lee County, Alabama",Federal Government,18,359,368,366,"7,970,991","1,683",0.28,0.33
2025,Alabama,"Limestone County, Alabama",Federal Government,15,"1,498","1,490","1,489","52,617,240","2,712",2.19,3.95
2025,Alabama,"Lowndes County, Alabama",Federal Government,7,36,34,33,"443,072",993,0.7,0.48
2025,Alabama,"Macon County, Alabama",Federal Government,11,922,904,907,"20,962,545","1,770",10.06,11.74
2025,Alabama,"Madison County, Alabama",Federal Government,73,"19,767","19,704","19,682","568,539,933","2,218",4.41,4.91
2025,Alabama,"Marengo County, Alabama",Federal Government,13,60,61,57,"902,079","1,170",0.41,0.35
2025,Alabama,"Marion County, Alabama",Federal Government,11,81,73,73,"1,266,999","1,288",0.37,0.4
2025,Alabama,"Marshall County, Alabama",Federal Government,19,255,263,262,"5,834,601","1,726",0.33,0.45
2025,Alabama,"Mobile County, Alabama",Federal Government,71,"2,906","2,927","2,930","65,175,841","1,716",0.87,0.94
2025,Alabama,"Monroe County, Alabama",Federal Government,15,48,50,52,"797,947","1,228",0.45,0.38
2025,Alabama,"Montgomery County, Alabama",Federal Government,90,"6,533","6,496","6,495","151,389,892","1,789",2.55,2.95
2025,Alabama,"Morgan County, Alabama",Federal Government,23,286,277,276,"6,016,995","1,655",0.26,0.28
2025,Alabama,"Perry County, Alabama",Federal Government,4,19,23,18,"318,200","1,224",0.52,0.65
2025,Alabama,"Pickens County, Alabama",Federal Government,8,318,320,323,"8,478,700","2,036",4.59,7.02
2025,Alabama,"Pike County, Alabama",Federal Government,8,92,90,89,"1,597,976","1,361",0.3,0.31
2025,Alabama,"Randolph County, Alabama",Federal Government,9,56,58,58,"965,840","1,296",0.61,0.66
2025,Alabama,"Russell County, Alabama",Federal Government,12,128,125,125,"2,126,078","1,298",0.46,0.48
2025,Alabama,"St. Clair County, Alabama",Federal Government,13,121,114,117,"2,114,514","1,386",0.27,0.22
2025,Alabama,"Shelby County, Alabama",Federal Government,26,412,407,386,"7,198,219","1,379",0.24,0.19
2025,Alabama,"Sumter County, Alabama",Federal Government,13,35,31,31,"484,636","1,153",0.58,0.56
2025,Alabama,"Talladega County, Alabama",Federal Government,16,436,434,443,"11,493,483","2,020",0.72,1.01
2025,Alabama,"Tallapoosa County, Alabama",Federal Government,9,83,85,86,"1,559,686","1,417",0.35,0.39
2025,Alabama,"Tuscaloosa County, Alabama",Federal Government,34,"1,822","1,819","1,806","42,738,055","1,811",0.95,1.11
2025,Alabama,"Walker County, Alabama",Federal Government,21,199,202,200,"3,663,239","1,407",0.55,0.61
2025,Alabama,"Washington County, Alabama",Federal Government,13,31,32,30,"381,905",948,0.29,0.12
2025,Alabama,"Wilcox County, Alabama",Federal Government,12,53,54,53,"812,406","1,172",1.01,0.76
2025,Alabama,"Winston County, Alabama",Federal Government,9,69,73,72,"1,311,318","1,414",0.46,0.49
2025,Alabama,"Unknown Or Undefined, Alabama",Federal Government,91,"2,292","2,289","2,269","61,993,044","2,088",1.44,1.21
2025,Alaska,"Aleutians East Borough, Alaska",Federal Government,7,14,14,12,"238,221","1,374",0.3,0.29
2025,Alaska,"Aleutians West Census Area, Alaska",Federal Government,5,13,13,13,"320,641","1,897",0.15,0.15
2025,Alaska,"Anchorage Municipality, Alaska",Federal Government,101,"8,327","8,318","8,336","222,200,403","2,053",2.94,3.06
2025,Alaska,"Bethel Census Area, Alaska",Federal Government,25,75,74,73,"1,398,837","1,454",0.61,0.67
2025,Alaska,"Bristol Bay Borough, Alaska",Federal Government,7,48,50,50,"1,147,732","1,790",4.49,4.44
2025,Alaska,"Chugach Census Area, Alaska",Federal Government,6,46,49,50,"1,207,266","1,921",0.83,0.75
2025,Alaska,"Copper River Census Area, Alaska",Federal Government,6,65,66,68,"1,598,777","1,854",3.63,4.56
2025,Alaska,"Denali Borough, Alaska",Federal Government,8,153,151,166,"4,049,926","1,989",8.62,7
2025,Alaska,"Dillingham Census Area, Alaska",Federal Government,12,67,65,63,"1,401,996","1,659",1.76,1.69
2025,Alaska,"Fairbanks North Star Borough, Alaska",Federal Government,67,"3,121","3,144","3,234","70,617,888","1,716",4.58,4.28
2025,Alaska,"Haines Borough, Alaska",Federal Government,2,11,12,12,"388,513","2,562",0.76,1.37
2025,Alaska,"Hoonah-Angoon Census Area, Alaska",Federal Government,8,123,125,129,"2,443,125","1,495",8.59,10.4
2025,Alaska,"Juneau City and Borough, Alaska",Federal Government,22,722,709,729,"22,179,904","2,370",2.23,2.94
2025,Alaska,"Kenai Peninsula Borough, Alaska",Federal Government,27,353,350,356,"8,808,595","1,920",0.91,1.06
2025,Alaska,"Ketchikan Gateway Borough, Alaska",Federal Government,12,193,193,207,"5,219,161","2,031",1.69,1.99
2025,Alaska,"Kodiak Island Borough, Alaska",Federal Government,14,246,250,252,"5,203,367","1,605",2.29,2.44
2025,Alaska,"Kusilvak Census Area, Alaska",Federal Government,11,26,28,27,"296,879",846,0.69,0.52
2025,Alaska,"Lake and Peninsula Borough, Alaska",Federal Government,10,22,22,21,"263,366",935,1.61,1.44
2025,Alaska,"Matanuska-Susitna Borough, Alaska",Federal Government,19,293,293,293,"8,408,679","2,208",0.52,0.78
2025,Alaska,"Nome Census Area, Alaska",Federal Government,17,44,46,44,"877,429","1,511",0.59,0.47
2025,Alaska,"North Slope Borough, Alaska",Federal Government,9,16,13,14,"317,930","1,706",0.05,0.03
2025,Alaska,"Northwest Arctic Borough, Alaska",Federal Government,14,42,43,46,"800,592","1,410",0.81,0.47
2025,Alaska,"Petersburg Borough, Alaska",Federal Government,5,70,70,76,"1,822,881","1,948",3.38,5.2
2025,Alaska,"Prince of Wales-Hyder Census Area, Alaska",Federal Government,10,76,78,83,"1,699,877","1,655",2.18,2.58
2025,Alaska,"Sitka City and Borough, Alaska",Federal Government,8,102,98,107,"2,496,458","1,877",1.35,1.69
2025,Alaska,"Skagway Municipality, Alaska",Federal Government,2,8,9,10,"472,831","4,041",1.04,2.74
2025,Alaska,"Southeast Fairbanks Census Area, Alaska",Federal Government,12,358,364,363,"13,137,008","2,794",6.25,6.97
2025,Alaska,"Wrangell City and Borough, Alaska",Federal Government,5,31,32,38,"821,782","1,878",2.74,3.18
2025,Alaska,"Yakutat City and Borough, Alaska",Federal Government,4,17,17,17,"391,941","1,773",3.21,3.26
2025,Alaska,"Yukon-Koyukuk Census Area, Alaska",Federal Government,28,51,53,53,"810,881","1,192",1.25,1.11
2025,Alaska,"Unknown Or Undefined, Alaska",Federal Government,46,344,344,340,"10,020,583","2,249",5.54,5.21
2025,Arizona,"Apache County, Arizona",Federal Government,34,"2,483","2,472","2,463","46,972,999","1,461",7.48,7.75
2025,Arizona,"Cochise County, Arizona",Federal Government,61,"4,360","4,359","4,381","128,957,226","2,272",6.49,9.34
2025,Arizona,"Coconino County, Arizona",Federal Government,41,"2,601","2,572","2,597","53,578,350","1,591",2.04,2.4
2025,Arizona,"Gila County, Arizona",Federal Government,22,238,244,251,"5,537,170","1,743",0.81,0.92
2025,Arizona,"Graham County, Arizona",Federal Government,17,391,389,389,"9,148,082","1,806",1.8,2.2
2025,Arizona,"Greenlee County, Arizona",Federal Government,5,26,29,32,"593,062","1,573",0.29,0.15
2025,Arizona,"La Paz County, Arizona",Federal Government,12,328,321,320,"8,499,491","2,024",2.5,4.05
2025,Arizona,"Maricopa County, Arizona",Federal Government,190,"22,294","22,396","22,426","608,129,823","2,091",0.5,0.53
2025,Arizona,"Mohave County, Arizona",Federal Government,26,529,530,533,"11,409,853","1,654",0.47,0.6
2025,Arizona,"Navajo County, Arizona",Federal Government,33,"1,947","1,941","1,974","46,399,411","1,827",3.6,5.23
2025,Arizona,"Pima County, Arizona",Federal Government,98,"12,875","12,803","12,815","363,581,446","2,180",1.7,2.3
2025,Arizona,"Pinal County, Arizona",Federal Government,33,"1,437","1,413","1,434","44,210,489","2,382",0.93,1.44
2025,Arizona,"Santa Cruz County, Arizona",Federal Government,18,"1,649","1,639","1,657","56,195,504","2,622",5.99,10.63
2025,Arizona,"Yavapai County, Arizona",Federal Government,38,"1,881","1,908","1,916","52,814,160","2,136",1.37,2.1
2025,Arizona,"Yuma County, Arizona",Federal Government,51,"3,548","3,554","3,610","100,090,118","2,156",2.43,3.66
2025,Arizona,"Unknown Or Undefined, Arizona",Federal Government,75,"2,274","2,283","2,175","66,039,610","2,264",1.33,1.07
2025,Arkansas,"Arkansas County, Arkansas",Federal Government,18,157,148,153,"2,817,429","1,420",0.86,0.9
2025,Arkansas,"Ashley County, Arkansas",Federal Government,12,61,66,62,"1,127,559","1,377",0.55,0.61
2025,Arkansas,"Baxter County, Arkansas",Federal Government,20,152,155,159,"2,905,403","1,439",0.51,0.63
2025,Arkansas,"Benton County, Arkansas",Federal Government,33,534,530,542,"10,411,002","1,496",0.19,0.09
2025,Arkansas,"Boone County, Arkansas",Federal Government,17,142,143,145,"2,732,753","1,467",0.53,0.63
2025,Arkansas,"Bradley County, Arkansas",Federal Government,7,30,26,27,"406,242","1,129",0.4,0.42
2025,Arkansas,"Calhoun County, Arkansas",Federal Government,5,9,8,7,"108,492","1,043",0.11,0.06
2025,Arkansas,"Carroll County, Arkansas",Federal Government,12,91,88,94,"1,580,802","1,336",0.46,0.58
2025,Arkansas,"Chicot County, Arkansas",Federal Government,9,46,46,44,"733,938","1,245",0.86,1.04
2025,Arkansas,"Clark County, Arkansas",Federal Government,13,87,85,88,"1,501,169","1,332",0.51,0.59
2025,Arkansas,"Clay County, Arkansas",Federal Government,15,51,50,52,"719,829","1,086",0.88,0.88
2025,Arkansas,"Cleburne County, Arkansas",Federal Government,16,83,84,85,"1,350,403","1,237",0.68,0.79
2025,Arkansas,"Cleveland County, Arkansas",Federal Government,5,11,13,13,"191,684","1,196",0.63,0.64
2025,Arkansas,"Columbia County, Arkansas",Federal Government,7,34,34,34,"594,021","1,344",0.22,0.22
2025,Arkansas,"Conway County, Arkansas",Federal Government,15,57,55,55,"901,704","1,246",0.45,0.44
2025,Arkansas,"Craighead County, Arkansas",Federal Government,27,340,333,334,"6,670,306","1,529",0.31,0.37
2025,Arkansas,"Crawford County, Arkansas",Federal Government,14,96,98,96,"1,875,471","1,492",0.28,0.35
2025,Arkansas,"Crittenden County, Arkansas",Federal Government,15,88,91,92,"1,526,562","1,300",0.27,0.28
2025,Arkansas,"Cross County, Arkansas",Federal Government,10,53,51,54,"846,696","1,237",0.6,0.7
2025,Arkansas,"Dallas County, Arkansas",Federal Government,8,22,17,17,"247,933","1,022",0.33,0.32
2025,Arkansas,"Desha County, Arkansas",Federal Government,10,49,42,40,"651,068","1,147",0.52,0.56
2025,Arkansas,"Drew County, Arkansas",Federal Government,9,52,50,55,"904,105","1,329",0.44,0.51
2025,Arkansas,"Faulkner County, Arkansas",Federal Government,20,236,231,235,"4,379,746","1,440",0.26,0.3
2025,Arkansas,"Franklin County, Arkansas",Federal Government,13,191,194,193,"3,205,756","1,280",1.96,2.06
2025,Arkansas,"Fulton County, Arkansas",Federal Government,11,28,29,29,"451,707","1,212",0.84,0.99
2025,Arkansas,"Garland County, Arkansas",Federal Government,25,458,469,465,"9,857,069","1,634",0.62,0.88
2025,Arkansas,"Grant County, Arkansas",Federal Government,7,30,30,30,"460,465","1,181",0.34,0.31
2025,Arkansas,"Greene County, Arkansas",Federal Government,10,106,102,101,"2,044,563","1,527",0.33,0.44
2025,Arkansas,"Hempstead County, Arkansas",Federal Government,12,73,73,70,"1,290,677","1,379",0.46,0.56
2025,Arkansas,"Hot Spring County, Arkansas",Federal Government,10,61,67,67,"1,175,358","1,391",0.45,0.49
2025,Arkansas,"Howard County, Arkansas",Federal Government,10,51,46,46,"800,667","1,292",0.4,0.46
2025,Arkansas,"Independence County, Arkansas",Federal Government,17,101,105,107,"2,071,417","1,527",0.31,0.36
2025,Arkansas,"Izard County, Arkansas",Federal Government,14,26,26,26,"398,728","1,180",0.48,0.54
2025,Arkansas,"Jackson County, Arkansas",Federal Government,12,42,38,39,"597,738","1,159",0.39,0.36
2025,Arkansas,"Jefferson County, Arkansas",Federal Government,31,"1,206","1,220","1,210","30,698,678","1,948",2.51,3.56
2025,Arkansas,"Johnson County, Arkansas",Federal Government,12,90,91,90,"1,684,427","1,434",0.59,0.77
2025,Arkansas,"Lafayette County, Arkansas",Federal Government,8,29,24,25,"389,641","1,153",1.21,1.51
2025,Arkansas,"Lawrence County, Arkansas",Federal Government,15,46,46,45,"719,586","1,212",0.57,0.66
2025,Arkansas,"Lee County, Arkansas",Federal Government,12,27,27,27,"421,105","1,200",0.9,1.01
2025,Arkansas,"Lincoln County, Arkansas",Federal Government,8,26,22,22,"329,955","1,088",0.43,0.43
2025,Arkansas,"Little River County, Arkansas",Federal Government,10,46,42,42,"523,775",930,0.71,0.41
2025,Arkansas,"Logan County, Arkansas",Federal Government,14,91,87,91,"1,723,305","1,478",0.94,1.29
2025,Arkansas,"Lonoke County, Arkansas",Federal Government,13,136,128,135,"2,394,159","1,385",0.44,0.56
2025,Arkansas,"Madison County, Arkansas",Federal Government,14,42,42,42,"689,112","1,262",0.6,0.65
2025,Arkansas,"Marion County, Arkansas",Federal Government,10,26,28,32,"470,155","1,262",0.53,0.59
2025,Arkansas,"Miller County, Arkansas",Federal Government,16,72,74,73,"1,654,174","1,743",0.31,0.43
2025,Arkansas,"Mississippi County, Arkansas",Federal Government,22,102,98,97,"1,620,778","1,259",0.25,0.17
2025,Arkansas,"Monroe County, Arkansas",Federal Government,9,30,24,26,"441,331","1,273",0.77,1.04
2025,Arkansas,"Montgomery County, Arkansas",Federal Government,11,57,56,54,"962,954","1,331",2.21,3.51
2025,Arkansas,"Nevada County, Arkansas",Federal Government,9,26,25,25,"326,744",992,0.66,0.51
2025,Arkansas,"Newton County, Arkansas",Federal Government,14,36,37,37,"639,391","1,341",1.86,2.76
2025,Arkansas,"Ouachita County, Arkansas",Federal Government,10,101,103,101,"2,226,765","1,685",0.76,1.03
2025,Arkansas,"Perry County, Arkansas",Federal Government,7,21,23,23,"335,735","1,156",1.08,1.14
2025,Arkansas,"Phillips County, Arkansas",Federal Government,22,64,61,63,"1,032,747","1,268",0.74,0.91
2025,Arkansas,"Pike County, Arkansas",Federal Government,10,42,41,41,"619,546","1,153",0.8,0.86
2025,Arkansas,"Poinsett County, Arkansas",Federal Government,13,59,60,64,"985,727","1,243",0.63,0.61
2025,Arkansas,"Polk County, Arkansas",Federal Government,13,123,117,118,"2,083,886","1,343",1.05,1.4
2025,Arkansas,"Pope County, Arkansas",Federal Government,21,257,266,263,"5,121,382","1,504",0.5,0.57
2025,Arkansas,"Prairie County, Arkansas",Federal Government,12,35,34,34,"595,505","1,334",1.22,1.45
2025,Arkansas,"Pulaski County, Arkansas",Federal Government,106,"10,007","10,072","10,056","268,153,943","2,053",1.98,2.4
2025,Arkansas,"Randolph County, Arkansas",Federal Government,9,49,46,42,"842,187","1,419",0.34,0.52
2025,Arkansas,"St. Francis County, Arkansas",Federal Government,17,602,601,603,"17,724,392","2,265",4.65,8.5
2025,Arkansas,"Saline County, Arkansas",Federal Government,10,101,109,112,"2,122,981","1,521",0.21,0.25
2025,Arkansas,"Scott County, Arkansas",Federal Government,9,77,76,80,"1,519,097","1,505",1.39,2.03
2025,Arkansas,"Searcy County, Arkansas",Federal Government,12,42,37,39,"573,338","1,121",1.5,1.89
2025,Arkansas,"Sebastian County, Arkansas",Federal Government,39,950,934,933,"21,323,580","1,747",0.71,0.89
2025,Arkansas,"Sevier County, Arkansas",Federal Government,10,54,51,51,"918,555","1,359",0.54,0.65
2025,Arkansas,"Sharp County, Arkansas",Federal Government,13,50,52,53,"836,343","1,245",0.68,0.84
2025,Arkansas,"Stone County, Arkansas",Federal Government,12,48,46,56,"884,512","1,361",1.11,1.37
2025,Arkansas,"Union County, Arkansas",Federal Government,18,145,141,139,"2,797,053","1,519",0.45,0.4
2025,Arkansas,"Van Buren County, Arkansas",Federal Government,10,37,30,33,"546,630","1,261",0.44,0.47
2025,Arkansas,"Washington County, Arkansas",Federal Government,40,"2,508","2,504","2,481","64,490,524","1,986",1.06,1.42
2025,Arkansas,"White County, Arkansas",Federal Government,26,176,179,175,"3,188,357","1,388",0.34,0.4
2025,Arkansas,"Woodruff County, Arkansas",Federal Government,10,37,33,39,"541,019","1,145",1.03,0.96
2025,Arkansas,"Yell County, Arkansas",Federal Government,18,97,93,95,"1,571,950","1,273",0.75,0.91
2025,Arkansas,"Unknown Or Undefined, Arkansas",Federal Government,60,358,358,354,"9,565,547","2,063",0.31,0.26
2025,California,"Alameda County, California",Federal Government,132,"8,540","8,439","8,492","259,633,500","2,352",0.56,0.49
2025,California,"Alpine County, California",Federal Government,1,0,0,0,0,0,0,0
2025,California,"Amador County, California",Federal Government,11,82,82,84,"1,630,514","1,517",0.36,0.34
2025,California,"Butte County, California",Federal Government,32,604,595,599,"13,234,650","1,699",0.4,0.46
2025,California,"Calaveras County, California",Federal Government,21,117,122,125,"2,598,827","1,648",0.65,0.72
2025,California,"Colusa County, California",Federal Government,11,64,59,56,"1,146,798","1,478",0.34,0.37
2025,California,"Contra Costa County, California",Federal Government,84,"4,664","4,626","4,573","123,882,915","2,062",0.64,0.56
2025,California,"Del Norte County, California",Federal Government,8,126,123,128,"2,378,814","1,456",0.81,0.82
2025,California,"El Dorado County, California",Federal Government,41,597,601,607,"14,364,223","1,836",0.54,0.57
2025,California,"Fresno County, California",Federal Government,91,"9,742","9,712","9,691","215,791,324","1,709",1.21,1.36
2025,California,"Glenn County, California",Federal Government,15,172,173,171,"3,449,181","1,543",0.92,1.06
2025,California,"Humboldt County, California",Federal Government,61,810,801,813,"17,547,971","1,671",0.81,0.95
2025,California,"Imperial County, California",Federal Government,49,"2,686","2,668","2,685","92,056,729","2,643",2.04,3.82
2025,California,"Inyo County, California",Federal Government,14,273,268,270,"5,563,529","1,583",1.84,1.9
2025,California,"Kern County, California",Federal Government,96,"11,508","11,555","11,493","290,129,755","1,938",1.78,2.2
2025,California,"Kings County, California",Federal Government,22,"1,211","1,203","1,218","19,141,380","1,216",1.28,1.08
2025,California,"Lake County, California",Federal Government,17,149,147,147,"2,812,708","1,465",0.43,0.45
2025,California,"Lassen County, California",Federal Government,28,"1,643","1,648","1,657","28,849,544","1,346",9.99,8.83
2025,California,"Los Angeles County, California",Federal Government,435,"48,474","48,223","48,150","1,394,406,214","2,222",0.55,0.56
2025,California,"Madera County, California",Federal Government,19,286,285,284,"5,649,669","1,525",0.27,0.28
2025,California,"Marin County, California",Federal Government,38,655,664,665,"15,487,364","1,801",0.32,0.22
2025,California,"Mariposa County, California",Federal Government,11,464,459,457,"8,405,862","1,406",4.28,4.66
2025,California,"Mendocino County, California",Federal Government,33,267,274,267,"5,409,301","1,545",0.44,0.5
2025,California,"Merced County, California",Federal Government,28,807,801,820,"22,654,301","2,153",0.51,0.77
2025,California,"Modoc County, California",Federal Government,19,152,147,157,"3,102,537","1,570",3.11,3.8
2025,California,"Mono County, California",Federal Government,15,159,162,183,"3,430,268","1,571",1.14,1.21
2025,California,"Monterey County, California",Federal Government,69,"5,338","5,344","5,321","126,926,966","1,830",1.53,1.76
2025,California,"Napa County, California",Federal Government,16,208,200,201,"4,318,020","1,636",0.13,0.12
2025,California,"Nevada County, California",Federal Government,21,317,322,321,"7,014,419","1,686",0.48,0.49
2025,California,"Orange County, California",Federal Government,150,"10,931","10,944","10,853","283,301,700","1,998",0.34,0.3
2025,California,"Placer County, California",Federal Government,50,736,740,743,"16,612,747","1,728",0.21,0.18
2025,California,"Plumas County, California",Federal Government,16,258,262,271,"5,676,497","1,656",2.32,2.4
2025,California,"Riverside County, California",Federal Government,116,"7,898","7,817","7,808","199,388,843","1,956",0.48,0.6
2025,California,"Sacramento County, California",Federal Government,123,"10,654","10,563","10,568","306,706,129","2,227",0.75,0.8
2025,California,"San Benito County, California",Federal Government,9,126,113,121,"2,432,634","1,559",0.35,0.38
2025,California,"San Bernardino County, California",Federal Government,139,"13,189","13,160","13,063","333,230,709","1,951",0.8,0.98
2025,California,"San Diego County, California",Federal Government,251,"48,947","48,913","48,670","1,335,868,224","2,104",1.65,1.56
2025,California,"San Francisco County, California",Federal Government,112,"11,328","11,295","11,246","418,753,959","2,853",0.84,0.48
2025,California,"San Joaquin County, California",Federal Government,57,"3,033","3,024","3,035","62,645,328","1,590",0.55,0.55
2025,California,"San Luis Obispo County, California",Federal Government,36,598,599,600,"13,380,738","1,718",0.26,0.28
2025,California,"San Mateo County, California",Federal Government,62,"2,521","2,507","2,478","78,113,036","2,402",0.31,0.13
2025,California,"Santa Barbara County, California",Federal Government,72,"4,061","4,059","4,054","85,632,711","1,623",1,0.89
2025,California,"Santa Clara County, California",Federal Government,99,"9,997","9,995","9,994","342,080,334","2,633",0.46,0.23
2025,California,"Santa Cruz County, California",Federal Government,27,519,517,517,"12,523,149","1,861",0.27,0.28
2025,California,"Shasta County, California",Federal Government,56,"1,303","1,290","1,298","31,292,963","1,856",0.97,1.19
2025,California,"Sierra County, California",Federal Government,8,30,32,35,"708,957","1,687",3.52,4.21
2025,California,"Siskiyou County, California",Federal Government,37,508,508,543,"10,784,164","1,596",2.08,2.39
2025,California,"Solano County, California",Federal Government,60,"3,320","3,308","3,296","73,653,736","1,713",1.19,1.08
2025,California,"Sonoma County, California",Federal Government,59,"1,381","1,378","1,368","33,870,972","1,894",0.35,0.36
2025,California,"Stanislaus County, California",Federal Government,35,668,681,678,"14,297,135","1,628",0.18,0.18
2025,California,"Sutter County, California",Federal Government,14,72,72,73,"1,378,591","1,466",0.12,0.12
2025,California,"Tehama County, California",Federal Government,19,199,188,202,"3,625,970","1,421",0.54,0.51
2025,California,"Trinity County, California",Federal Government,15,159,164,169,"3,327,450","1,561",3.21,3.33
2025,California,"Tulare County, California",Federal Government,48,908,901,869,"16,710,304","1,440",0.26,0.28
2025,California,"Tuolumne County, California",Federal Government,20,340,328,312,"6,941,439","1,635",0.89,1.02
2025,California,"Ventura County, California",Federal Government,64,"7,828","7,805","7,767","205,772,768","2,029",1.19,1.31
2025,California,"Yolo County, California",Federal Government,35,"2,374","2,366","2,355","51,016,416","1,659",1.13,0.94
2025,California,"Yuba County, California",Federal Government,34,"1,426","1,426","1,419","22,583,278","1,220",3.53,2.47
2025,California,"Unknown Or Undefined, California",Federal Government,167,"9,975","10,032","9,896","298,642,256","2,305",0.86,0.47
2025,Colorado,"Adams County, Colorado",Federal Government,45,"3,498","3,472","3,416","105,817,416","2,351",0.72,0.9
2025,Colorado,"Alamosa County, Colorado",Federal Government,14,128,131,131,"2,362,472","1,398",0.83,0.92
2025,Colorado,"Arapahoe County, Colorado",Federal Government,63,"3,336","3,326","3,278","90,325,636","2,097",0.5,0.44
2025,Colorado,"Archuleta County, Colorado",Federal Government,4,49,47,54,"1,006,164","1,548",0.58,0.66
2025,Colorado,"Baca County, Colorado",Federal Government,9,33,32,35,"467,525","1,079",1.61,1.67
2025,Colorado,"Bent County, Colorado",Federal Government,7,32,29,30,"424,690","1,077",1.33,1.21
2025,Colorado,"Boulder County, Colorado",Federal Government,41,"2,223","2,218","2,211","79,078,328","2,743",0.6,0.62
2025,Colorado,"Broomfield County, Colorado",Federal Government,9,191,189,187,"4,725,832","1,923",0.24,0.15
