Year,State,County,Ownership,Establishment Count,January Employment,February Employment,March Employment,Total Quarterly Wages,Average Weekly Wage,Employment Location Quotient Relative to U.S.,Total Wage Location Quotient Relative to U.S.
2025,Arizona,"Apache County",Federal Government,34,"2,483","2,472","2,463","46,972,999","1,461",7.48,7.75
2025,Arizona,"Cochise County",Federal Government,61,"4,360","4,359","4,381","128,957,226","2,272",6.49,9.34
2025,Arizona,"Coconino County",Federal Government,41,"2,601","2,572","2,597","53,578,350","1,591",2.04,2.4
2025,Arizona,"Gila County",Federal Government,22,238,244,251,"5,537,170","1,743",0.81,0.92
2025,Arizona,"Graham County",Federal Government,17,391,389,389,"9,148,082","1,806",1.8,2.2
2025,Arizona,"Greenlee County",Federal Government,5,26,29,32,"593,062","1,573",0.29,0.15
2025,Arizona,"La Paz County",Federal Government,12,328,321,320,"8,499,491","2,024",2.5,4.05
2025,Arizona,"Maricopa County",Federal Government,190,"22,294","22,396","22,426","608,129,823","2,091",0.5,0.53
2025,Arizona,"Mohave County",Federal Government,26,529,530,533,"11,409,853","1,654",0.47,0.6
2025,Arizona,"Navajo County",Federal Government,33,"1,947","1,941","1,974","46,399,411","1,827",3.6,5.23
2025,Arizona,"Pima County",Federal Government,98,"12,875","12,803","12,815","363,581,446","2,180",1.7,2.3
2025,Arizona,"Pinal County",Federal Government,33,"1,437","1,413","1,434","44,210,489","2,382",0.93,1.44
2025,Arizona,"Santa Cruz County",Federal Government,18,"1,649","1,639","1,657","56,195,504","2,622",5.99,10.63
2025,Arizona,"Yavapai County",Federal Government,38,"1,881","1,908","1,916","52,814,160","2,136",1.37,2.1
2025,Arizona,"Yuma County",Federal Government,51,"3,548","3,554","3,610","100,090,118","2,156",2.43,3.66
2025,Arizona,"Unknown Or Undefined",Federal Government,75,"2,274","2,283","2,175","66,039,610","2,264",1.33,1.07
2025,Arkansas,"Arkansas County",Federal Government,18,157,148,153,"2,817,429","1,420",0.86,0.9
2025,Arkansas,"Ashley County",Federal Government,12,61,66,62,"1,127,559","1,377",0.55,0.61
2025,Arkansas,"Baxter County",Federal Government,20,152,155,159,"2,905,403","1,439",0.51,0.63
2025,Arkansas,"Benton County",Federal Government,33,534,530,542,"10,411,002","1,496",0.19,0.09
2025,Arkansas,"Boone County",Federal Government,17,142,143,145,"2,732,753","1,467",0.53,0.63
2025,Arkansas,"Bradley County",Federal Government,7,30,26,27,"406,242","1,129",0.4,0.42
2025,Arkansas,"Calhoun County",Federal Government,5,9,8,7,"108,492","1,043",0.11,0.06
2025,Arkansas,"Carroll County",Federal Government,12,91,88,94,"1,580,802","1,336",0.46,0.58
2025,Arkansas,"Chicot County",Federal Government,9,46,46,44,"733,938","1,245",0.86,1.04
2025,Arkansas,"Clark County",Federal Government,13,87,85,88,"1,501,169","1,332",0.51,0.59
2025,Arkansas,"Clay County",Federal Government,15,51,50,52,"719,829","1,086",0.88,0.88
2025,Arkansas,"Cleburne County",Federal Government,16,83,84,85,"1,350,403","1,237",0.68,0.79
2025,Arkansas,"Cleveland County",Federal Government,5,11,13,13,"191,684","1,196",0.63,0.64
2025,Arkansas,"Columbia County",Federal Government,7,34,34,34,"594,021","1,344",0.22,0.22
2025,Arkansas,"Conway County",Federal Government,15,57,55,55,"901,704","1,246",0.45,0.44
2025,Arkansas,"Craighead County",Federal Government,27,340,333,334,"6,670,306","1,529",0.31,0.37
2025,Arkansas,"Crawford County",Federal Government,14,96,98,96,"1,875,471","1,492",0.28,0.35
2025,Arkansas,"Crittenden County",Federal Government,15,88,91,92,"1,526,562","1,300",0.27,0.28
2025,Arkansas,"Cross County",Federal Government,10,53,51,54,"846,696","1,237",0.6,0.7
2025,Arkansas,"Dallas County",Federal Government,8,22,17,17,"247,933","1,022",0.33,0.32
2025,Arkansas,"Desha County",Federal Government,10,49,42,40,"651,068","1,147",0.52,0.56
2025,Arkansas,"Drew County",Federal Government,9,52,50,55,"904,105","1,329",0.44,0.51
2025,Arkansas,"Faulkner County",Federal Government,20,236,231,235,"4,379,746","1,440",0.26,0.3
2025,Arkansas,"Franklin County",Federal Government,13,191,194,193,"3,205,756","1,280",1.96,2.06
2025,Arkansas,"Fulton County",Federal Government,11,28,29,29,"451,707","1,212",0.84,0.99
2025,Arkansas,"Garland County",Federal Government,25,458,469,465,"9,857,069","1,634",0.62,0.88
2025,Arkansas,"Grant County",Federal Government,7,30,30,30,"460,465","1,181",0.34,0.31
2025,Arkansas,"Greene County",Federal Government,10,106,102,101,"2,044,563","1,527",0.33,0.44
2025,Arkansas,"Hempstead County",Federal Government,12,73,73,70,"1,290,677","1,379",0.46,0.56
2025,Arkansas,"Hot Spring County",Federal Government,10,61,67,67,"1,175,358","1,391",0.45,0.49
2025,Arkansas,"Howard County",Federal Government,10,51,46,46,"800,667","1,292",0.4,0.46
2025,Arkansas,"Independence County",Federal Government,17,101,105,107,"2,071,417","1,527",0.31,0.36
2025,Arkansas,"Izard County",Federal Government,14,26,26,26,"398,728","1,180",0.48,0.54
2025,Arkansas,"Jackson County",Federal Government,12,42,38,39,"597,738","1,159",0.39,0.36
2025,Arkansas,"Jefferson County",Federal Government,31,"1,206","1,220","1,210","30,698,678","1,948",2.51,3.56
2025,Arkansas,"Johnson County",Federal Government,12,90,91,90,"1,684,427","1,434",0.59,0.77
2025,Arkansas,"Lafayette County",Federal Government,8,29,24,25,"389,641","1,153",1.21,1.51
2025,Arkansas,"Lawrence County",Federal Government,15,46,46,45,"719,586","1,212",0.57,0.66
2025,Arkansas,"Lee County",Federal Government,12,27,27,27,"421,105","1,200",0.9,1.01
2025,Arkansas,"Lincoln County",Federal Government,8,26,22,22,"329,955","1,088",0.43,0.43
2025,Arkansas,"Little River County",Federal Government,10,46,42,42,"523,775",930,0.71,0.41
2025,Arkansas,"Logan County",Federal Government,14,91,87,91,"1,723,305","1,478",0.94,1.29
2025,Arkansas,"Lonoke County",Federal Government,13,136,128,135,"2,394,159","1,385",0.44,0.56
2025,Arkansas,"Madison County",Federal Government,14,42,42,42,"689,112","1,262",0.6,0.65
2025,Arkansas,"Marion County",Federal Government,10,26,28,32,"470,155","1,262",0.53,0.59
2025,Arkansas,"Miller County",Federal Government,16,72,74,73,"1,654,174","1,743",0.31,0.43
2025,Arkansas,"Mississippi County",Federal Government,22,102,98,97,"1,620,778","1,259",0.25,0.17
2025,Arkansas,"Monroe County",Federal Government,9,30,24,26,"441,331","1,273",0.77,1.04
2025,Arkansas,"Montgomery County",Federal Government,11,57,56,54,"962,954","1,331",2.21,3.51
2025,Arkansas,"Nevada County",Federal Government,9,26,25,25,"326,744",992,0.66,0.51
2025,Arkansas,"Newton County",Federal Government,14,36,37,37,"639,391","1,341",1.86,2.76
2025,Arkansas,"Ouachita County",Federal Government,10,101,103,101,"2,226,765","1,685",0.76,1.03
2025,Arkansas,"Perry County",Federal Government,7,21,23,23,"335,735","1,156",1.08,1.14
2025,Arkansas,"Phillips County",Federal Government,22,64,61,63,"1,032,747","1,268",0.74,0.91
2025,Arkansas,"Pike County",Federal Government,10,42,41,41,"619,546","1,153",0.8,0.86
2025,Arkansas,"Poinsett County",Federal Government,13,59,60,64,"985,727","1,243",0.63,0.61
2025,Arkansas,"Polk County",Federal Government,13,123,117,118,"2,083,886","1,343",1.05,1.4
2025,Arkansas,"Pope County",Federal Government,21,257,266,263,"5,121,382","1,504",0.5,0.57
2025,Arkansas,"Prairie County",Federal Government,12,35,34,34,"595,505","1,334",1.22,1.45
2025,Arkansas,"Pulaski County",Federal Government,106,"10,007","10,072","10,056","268,153,943","2,053",1.98,2.4
2025,Arkansas,"Randolph County",Federal Government,9,49,46,42,"842,187","1,419",0.34,0.52
2025,Arkansas,"St. Francis County",Federal Government,17,602,601,603,"17,724,392","2,265",4.65,8.5
2025,Arkansas,"Saline County",Federal Government,10,101,109,112,"2,122,981","1,521",0.21,0.25
2025,Arkansas,"Scott County",Federal Government,9,77,76,80,"1,519,097","1,505",1.39,2.03
2025,Arkansas,"Searcy County",Federal Government,12,42,37,39,"573,338","1,121",1.5,1.89
2025,Arkansas,"Sebastian County",Federal Government,39,950,934,933,"21,323,580","1,747",0.71,0.89
2025,Arkansas,"Sevier County",Federal Government,10,54,51,51,"918,555","1,359",0.54,0.65
2025,Arkansas,"Sharp County",Federal Government,13,50,52,53,"836,343","1,245",0.68,0.84
2025,Arkansas,"Stone County",Federal Government,12,48,46,56,"884,512","1,361",1.11,1.37
2025,Arkansas,"Union County",Federal Government,18,145,141,139,"2,797,053","1,519",0.45,0.4
2025,Arkansas,"Van Buren County",Federal Government,10,37,30,33,"546,630","1,261",0.44,0.47
2025,Arkansas,"Washington County",Federal Government,40,"2,508","2,504","2,481","64,490,524","1,986",1.06,1.42
2025,Arkansas,"White County",Federal Government,26,176,179,175,"3,188,357","1,388",0.34,0.4
2025,Arkansas,"Woodruff County",Federal Government,10,37,33,39,"541,019","1,145",1.03,0.96
2025,Arkansas,"Yell County",Federal Government,18,97,93,95,"1,571,950","1,273",0.75,0.91
2025,Arkansas,"Unknown Or Undefined",Federal Government,60,358,358,354,"9,565,547","2,063",0.31,0.26
2025,California,"Alameda County",Federal Government,132,"8,540","8,439","8,492","259,633,500","2,352",0.56,0.49
2025,California,"Alpine County",Federal Government,1,0,0,0,0,0,0,0
2025,California,"Amador County",Federal Government,11,82,82,84,"1,630,514","1,517",0.36,0.34
2025,California,"Butte County",Federal Government,32,604,595,599,"13,234,650","1,699",0.4,0.46
2025,California,"Calaveras County",Federal Government,21,117,122,125,"2,598,827","1,648",0.65,0.72
2025,California,"Colusa County",Federal Government,11,64,59,56,"1,146,798","1,478",0.34,0.37
2025,California,"Contra Costa County",Federal Government,84,"4,664","4,626","4,573","123,882,915","2,062",0.64,0.56
2025,California,"Del Norte County",Federal Government,8,126,123,128,"2,378,814","1,456",0.81,0.82
2025,California,"El Dorado County",Federal Government,41,597,601,607,"14,364,223","1,836",0.54,0.57
2025,California,"Fresno County",Federal Government,91,"9,742","9,712","9,691","215,791,324","1,709",1.21,1.36
2025,California,"Glenn County",Federal Government,15,172,173,171,"3,449,181","1,543",0.92,1.06
2025,California,"Humboldt County",Federal Government,61,810,801,813,"17,547,971","1,671",0.81,0.95
2025,California,"Imperial County",Federal Government,49,"2,686","2,668","2,685","92,056,729","2,643",2.04,3.82
2025,California,"Inyo County",Federal Government,14,273,268,270,"5,563,529","1,583",1.84,1.9
2025,California,"Kern County",Federal Government,96,"11,508","11,555","11,493","290,129,755","1,938",1.78,2.2
2025,California,"Kings County",Federal Government,22,"1,211","1,203","1,218","19,141,380","1,216",1.28,1.08
2025,California,"Lake County",Federal Government,17,149,147,147,"2,812,708","1,465",0.43,0.45
2025,California,"Lassen County",Federal Government,28,"1,643","1,648","1,657","28,849,544","1,346",9.99,8.83
2025,California,"Los Angeles County",Federal Government,435,"48,474","48,223","48,150","1,394,406,214","2,222",0.55,0.56
2025,California,"Madera County",Federal Government,19,286,285,284,"5,649,669","1,525",0.27,0.28
2025,California,"Marin County",Federal Government,38,655,664,665,"15,487,364","1,801",0.32,0.22
2025,California,"Mariposa County",Federal Government,11,464,459,457,"8,405,862","1,406",4.28,4.66
2025,California,"Mendocino County",Federal Government,33,267,274,267,"5,409,301","1,545",0.44,0.5
2025,California,"Merced County",Federal Government,28,807,801,820,"22,654,301","2,153",0.51,0.77
2025,California,"Modoc County",Federal Government,19,152,147,157,"3,102,537","1,570",3.11,3.8
2025,California,"Mono County",Federal Government,15,159,162,183,"3,430,268","1,571",1.14,1.21
2025,California,"Monterey County",Federal Government,69,"5,338","5,344","5,321","126,926,966","1,830",1.53,1.76
2025,California,"Napa County",Federal Government,16,208,200,201,"4,318,020","1,636",0.13,0.12
2025,California,"Nevada County",Federal Government,21,317,322,321,"7,014,419","1,686",0.48,0.49
2025,California,"Orange County",Federal Government,150,"10,931","10,944","10,853","283,301,700","1,998",0.34,0.3
2025,California,"Placer County",Federal Government,50,736,740,743,"16,612,747","1,728",0.21,0.18
2025,California,"Plumas County",Federal Government,16,258,262,271,"5,676,497","1,656",2.32,2.4
2025,California,"Riverside County",Federal Government,116,"7,898","7,817","7,808","199,388,843","1,956",0.48,0.6
2025,California,"Sacramento County",Federal Government,123,"10,654","10,563","10,568","306,706,129","2,227",0.75,0.8
2025,California,"San Benito County",Federal Government,9,126,113,121,"2,432,634","1,559",0.35,0.38
2025,California,"San Bernardino County",Federal Government,139,"13,189","13,160","13,063","333,230,709","1,951",0.8,0.98
2025,California,"San Diego County",Federal Government,251,"48,947","48,913","48,670","1,335,868,224","2,104",1.65,1.56
2025,California,"San Francisco County",Federal Government,112,"11,328","11,295","11,246","418,753,959","2,853",0.84,0.48
2025,California,"San Joaquin County",Federal Government,57,"3,033","3,024","3,035","62,645,328","1,590",0.55,0.55
2025,California,"San Luis Obispo County",Federal Government,36,598,599,600,"13,380,738","1,718",0.26,0.28
2025,California,"San Mateo County",Federal Government,62,"2,521","2,507","2,478","78,113,036","2,402",0.31,0.13
2025,California,"Santa Barbara County",Federal Government,72,"4,061","4,059","4,054","85,632,711","1,623",1,0.89
2025,California,"Santa Clara County",Federal Government,99,"9,997","9,995","9,994","342,080,334","2,633",0.46,0.23
2025,California,"Santa Cruz County",Federal Government,27,519,517,517,"12,523,149","1,861",0.27,0.28
2025,California,"Shasta County",Federal Government,56,"1,303","1,290","1,298","31,292,963","1,856",0.97,1.19
2025,California,"Sierra County",Federal Government,8,30,32,35,"708,957","1,687",3.52,4.21
2025,California,"Siskiyou County",Federal Government,37,508,508,543,"10,784,164","1,596",2.08,2.39
2025,California,"Solano County",Federal Government,60,"3,320","3,308","3,296","73,653,736","1,713",1.19,1.08
2025,California,"Sonoma County",Federal Government,59,"1,381","1,378","1,368","33,870,972","1,894",0.35,0.36
2025,California,"Stanislaus County",Federal Government,35,668,681,678,"14,297,135","1,628",0.18,0.18
2025,California,"Sutter County",Federal Government,14,72,72,73,"1,378,591","1,466",0.12,0.12
2025,California,"Tehama County",Federal Government,19,199,188,202,"3,625,970","1,421",0.54,0.51
2025,California,"Trinity County",Federal Government,15,159,164,169,"3,327,450","1,561",3.21,3.33
2025,California,"Tulare County",Federal Government,48,908,901,869,"16,710,304","1,440",0.26,0.28
2025,California,"Tuolumne County",Federal Government,20,340,328,312,"6,941,439","1,635",0.89,1.02
2025,California,"Ventura County",Federal Government,64,"7,828","7,805","7,767","205,772,768","2,029",1.19,1.31
2025,California,"Yolo County",Federal Government,35,"2,374","2,366","2,355","51,016,416","1,659",1.13,0.94
2025,California,"Yuba County",Federal Government,34,"1,426","1,426","1,419","22,583,278","1,220",3.53,2.47
2025,California,"Unknown Or Undefined",Federal Government,167,"9,975","10,032","9,896","298,642,256","2,305",0.86,0.47
2025,Colorado,"Adams County",Federal Government,45,"3,498","3,472","3,416","105,817,416","2,351",0.72,0.9
2025,Colorado,"Alamosa County",Federal Government,14,128,131,131,"2,362,472","1,398",0.83,0.92
2025,Colorado,"Arapahoe County",Federal Government,63,"3,336","3,326","3,278","90,325,636","2,097",0.5,0.44
2025,Colorado,"Archuleta County",Federal Government,4,49,47,54,"1,006,164","1,548",0.58,0.66
2025,Colorado,"Baca County",Federal Government,9,33,32,35,"467,525","1,079",1.61,1.67
2025,Colorado,"Bent County",Federal Government,7,32,29,30,"424,690","1,077",1.33,1.21
2025,Colorado,"Boulder County",Federal Government,41,"2,223","2,218","2,211","79,078,328","2,743",0.6,0.62
2025,Colorado,"Broomfield County",Federal Government,9,191,189,187,"4,725,832","1,923",0.24,0.15
2025,Colorado,"Chaffee County",Federal Government,8,70,68,68,"1,469,900","1,647",0.39,0.48
2025,Colorado,"Cheyenne County",Federal Government,6,11,13,15,"239,276","1,416",1.08,0.94
2025,Colorado,"Clear Creek County",Federal Government,5,30,31,30,"629,449","1,596",0.44,0.42
2025,Colorado,"Conejos County",Federal Government,10,40,37,35,"617,997","1,273",1.16,1.49
2025,Colorado,"Costilla County",Federal Government,4,7,7,7,"90,659",996,0.39,0.4
2025,Colorado,"Crowley County",Federal Government,4,10,10,10,"117,259",902,0.45,0.28
2025,Colorado,"Custer County",Federal Government,4,18,17,18,"276,551","1,204",0.95,0.95
2025,Colorado,"Delta County",Federal Government,16,159,158,162,"3,328,086","1,603",0.97,1.24
2025,Colorado,"Denver County",Federal Government,107,"13,718","13,718","13,676","411,095,557","2,308",1.27,0.99
2025,Colorado,"Dolores County",Federal Government,5,14,13,10,"172,989","1,079",0.95,1.32
2025,Colorado,"Douglas County",Federal Government,31,733,738,695,"18,926,155","2,016",0.25,0.21
2025,Colorado,"Eagle County",Federal Government,15,101,105,109,"2,397,094","1,756",0.15,0.15
2025,Colorado,"Elbert County",Federal Government,9,32,28,33,"510,281","1,266",0.35,0.26
2025,Colorado,"El Paso County",Federal Government,138,"13,650","13,645","13,589","334,091,343","1,886",2.31,2.42
2025,Colorado,"Fremont County",Federal Government,19,"1,015","1,028","1,034","31,333,075","2,350",3.72,6
2025,Colorado,"Garfield County",Federal Government,14,230,229,228,"5,206,329","1,749",0.43,0.46
2025,Colorado,"Gilpin County",Federal Government,4,12,12,12,"216,812","1,390",0.13,0.11
2025,Colorado,"Grand County",Federal Government,13,75,77,80,"1,542,342","1,534",0.49,0.54
2025,Colorado,"Gunnison County",Federal Government,11,131,127,132,"2,512,057","1,486",0.71,0.77
2025,Colorado,"Hinsdale County",Federal Government,1,3,3,2,"26,498",764,0.39,0.43
2025,Colorado,"Huerfano County",Federal Government,4,15,15,14,"240,271","1,260",0.39,0.46
2025,Colorado,"Jackson County",Federal Government,4,18,18,18,"312,381","1,335",1.71,1.97
2025,Colorado,"Jefferson County",Federal Government,72,"7,213","7,125","7,321","211,473,614","2,253",1.55,1.61
2025,Colorado,"Kiowa County",Federal Government,5,21,17,17,"233,472",980,1.82,1.82
